number,title,state,labels,milestone,user,assignee,assignees,created_at,updated_at,closed_at,body
2388,"Create ""quickstart list"" on jbrowse-desktop which users can add to",open,enhancement,,cmdcolin,,,2021-10-07T16:55:08Z,2021-10-07T21:26:36Z,,"Concepts

1) Downloads https://jbrowse.org/genomes/sessions.json at electron app startup, using code in electron.ts
2) Splits the sessions.json file (containing multiple assemblies, etc) into separate files in ~/.config/@jbrowse/desktop/quickstarts/hg19.json, hg38.json, etc.
3) Users can add their own files to the quickstart list by using a star icon on the recent session panel
4) Users can delete and rename quickstarts
5) Deleted quickstarts get a '.deleted' file added e.g. hg19.json.deleted which means, they can delete things that would come from the sessions.json
6) The quickstart list is updated in the GUI every 500ms. This is easier and maybe even better than designing an observable/reactive system because it is hard to design a reactive system based on the filesystem, and often polling is the best way here (even typescript does polling on a large scale).

Screenshot
![Screenshot from 2021-10-07 12-53-53](https://user-images.githubusercontent.com/6511937/136429780-8ad8526a-6bf2-4adc-bc35-08974417edaa.png)
"
2387,Add bulk delete of sessions on jbrowse-desktop ,closed,enhancement,,cmdcolin,,,2021-10-07T04:00:49Z,2021-10-07T21:12:21Z,2021-10-07T21:12:16Z,"Using the cards, you still delete entries 1-by-1 but the table view offers a bulk delete

![Screenshot from 2021-10-06 23-59-55](https://user-images.githubusercontent.com/6511937/136318155-6cd62353-1cee-4d11-9cb7-cf866428a7dd.png)

Also upgrades @material-ui/data-grid@alpha.37 to @mui/x-data-grid@4.0.1 (stable release) which is compatible with mui 4"
2386,Visiting a share link with authenticated resources may activate pop-up blocker,open,,,cmdcolin,,,2021-10-07T01:18:25Z,2021-10-07T03:51:25Z,,"Step 1: Add a google share track
Step 2: Create share link
Step 3: Paste into chrome or firefox
Step 4: Observe pop-up blocker is activated

This can be remedied by manually disabling the popup blocker

One approach to fix would be to create a button in the track area or similar so the user can create the popup (normally popups are allowed if there is a specific user action to trigger the popup like clicking a button)"
2385,Ensure all dependencies are properly specified in package.json files using eslint-plugin-import,closed,enhancement,,cmdcolin,,,2021-10-06T23:25:45Z,2021-10-06T23:48:53Z,2021-10-06T23:48:05Z,"Fixes #2333
I owe a big debt to ljharb at https://github.com/import-js/eslint-plugin-import/issues/2247 for helping fix this!

We may have had this rule as part of a larger rule bundle at one point but this restores it"
2384,Allow docking the drawer widget on the left side of the screen,open,enhancement,,cmdcolin,,,2021-10-06T22:31:24Z,2021-10-07T04:25:05Z,,"This adds the ability to toggle the drawer between left and right

It saves the setting in localStorage also so that it persists across sessions

"
2383,Typescriptify some of the drawer widget code,closed,needs label triage,,cmdcolin,,,2021-10-06T21:54:41Z,2021-10-07T00:12:43Z,2021-10-06T22:25:23Z,"This is a basic typescripting of some of the drawer widget code. More ""type coverage"" :)"
2382,Export RefNameAutocomplete and ViewModel for downstream usage,open,needs label triage,,hextraza,,,2021-10-06T21:05:30Z,2021-10-08T19:04:25Z,,"This patch exists to expose RefNameAutocomplete and associated types from the LinearGenomeView plugin, for usage as a search component by itself."
2381,Bump url-parse from 1.5.1 to 1.5.3,closed,"dependencies,needs label triage",,dependabot[bot],,,2021-10-06T04:05:19Z,2021-10-06T17:30:47Z,2021-10-06T17:30:46Z,"Bumps [url-parse](https://github.com/unshiftio/url-parse) from 1.5.1 to 1.5.3.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/unshiftio/url-parse/commit/ad444931666a30bad11472d89a216461cf16cae2""><code>ad44493</code></a> [dist] 1.5.3</li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/c7984617e235892cc22e0f47bb5ff1c012e6e39f""><code>c798461</code></a> [fix] Fix host parsing for file URLs (<a href=""https://github-redirect.dependabot.com/unshiftio/url-parse/issues/210"">#210</a>)</li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/201034b8670c2aa382d7ec410ee750ac6f2f9c38""><code>201034b</code></a> [dist] 1.5.2</li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/2d9ac2c94067742b2116332c1e03be9f37371dff""><code>2d9ac2c</code></a> [fix] Sanitize only special URLs (<a href=""https://github-redirect.dependabot.com/unshiftio/url-parse/issues/209"">#209</a>)</li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/fb128af4f43fa17f351d50cf615c7598c751f50a""><code>fb128af</code></a> [fix] Use <code>'null'</code> as <code>origin</code> for non special URLs</li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/fed6d9e338ea39de2d68bb66607066d71328c62f""><code>fed6d9e</code></a> [fix] Add a leading slash only if the URL is special</li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/94872e7ab9103ee69b958959baa14c9e682a7f10""><code>94872e7</code></a> [fix] Do not incorrectly set the <code>slashes</code> property to <code>true</code></li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/81ab967889b08112d3356e451bf03e6aa0cbb7e0""><code>81ab967</code></a> [fix] Ignore slashes after the protocol for special URLs</li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/ee22050a48a67409aa5f7c87947284156d615bd1""><code>ee22050</code></a> [ci] Use GitHub Actions</li>
<li><a href=""https://github.com/unshiftio/url-parse/commit/d2979b586d8c7751e0c77f127d9ce1b2143cc0c9""><code>d2979b5</code></a> [fix] Special case the <code>file:</code> protocol (<a href=""https://github-redirect.dependabot.com/unshiftio/url-parse/issues/204"">#204</a>)</li>
<li>Additional commits viewable in <a href=""https://github.com/unshiftio/url-parse/compare/1.5.1...1.5.3"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=url-parse&package-manager=npm_and_yarn&previous-version=1.5.1&new-version=1.5.3)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/GMOD/jbrowse-components/network/alerts).

</details>"
2379,Bump typescript to 4.4.3,closed,internal,,cmdcolin,,,2021-10-05T00:55:52Z,2021-10-06T17:29:50Z,2021-10-06T17:29:48Z,"This is a major version bump of typescript from 3->4. Typescript doesn't really follow semver, so it's not really much of a thing, but notable changes include: more monitoring of using `delete` operator, more bug fixes and improvements as usual, and caught exception type is set to `unknown` (previously typescript was type `any`). The catch type unknown is the most visible change, and this unknown type is  propagated throughout the code (setError et al are set to receive an unknown, and in the end, normally just stringifies it)

Also bumps storybook version, and hard requires webpack to a specific version in root of the app (otherwise it gets bumped by storybook, making CRA complain)"
2378,Save desktop sessions as a single user-placed file,open,,jbrowse-desktop first release,garrettjstevens,cmdcolin,cmdcolin,2021-10-04T13:49:33Z,2021-10-08T18:33:45Z,,"There was discussion of this in previous issue, but I thought I'd bring it up in its own issue to make discussion easier.

One idea for desktop that has been discussed is to make desktop sessions be contained in a single file, and the user chooses where that file is saved. That differs from the current model where sessions are auto-saved in a hidden user config directory.

The user choosing where the file was saved would be similar to them choosing where a Word document they were working on was saved. This way they could know where their sessions are and e.g. easily be able to find and attach them for debugging purposes.

This would also allow us to open JBrowse by double-clicking the session file in the file system."
